,timestamp,username,1_attractive_title,1_attractive_style,1_attractive_theme,2_originality_title,2_originality_style,2_originality_theme,3_relevance,4_creativity_title,4_creativity_synopsis,4_creativity_comment,5_authorship_title,5_authorship_synopsis,5_authorship_comment,6_anthology,6_readers_opinion,6_critics_opinion,6_own_voice,6_comment,title,title_id,synopsis_writer,title_writer,experiment
17,2024/04/01 5:34:42 PM GMT+2,Expert1,2,1,1,2,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor novel.,Un escritor novel.,,1,2,1,1,,Beyond the broken horizon,Más allá del horizonte roto,gpt4_en,machine,ENGLISH
18,2024/04/01 8:28:58 PM GMT+2,Expert1,2,1,0,2,0,0,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",2,1,,Un escritor consagrado.,Una inteligencia artificial.,,0,2,2,1,,Bits of reality,Retazos de realidad,gpt4_en,machine,ENGLISH
19,2024/04/02 1:12:23 AM GMT+2,Expert3,0,0,0,0,0,0,La relación entre el título y la sinopsis es casi irrelevante.,0,0,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,Bits of reality,Retazos de realidad,gpt4_en,machine,ENGLISH
20,2024/04/02 12:33:14 PM GMT+2,Expert2,0,0,0,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,2,0,,Bits of reality,Retazos de realidad,gpt4_en,machine,ENGLISH
21,2024/03/29 1:35:31 AM GMT+2,Expert2,2,2,2,2,2,1,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",2,2,,Un escritor novel.,Un escritor novel.,,2,2,2,2,,Don't tell mom,No se lo digas a mamá,gpt4_en,patricio,ENGLISH
22,2024/03/31 6:25:04 PM GMT+2,Expert1,2,1,2,1,1,1,La relación entre el título y la sinopsis es casi irrelevante.,1,1,,Una inteligencia artificial.,Una inteligencia artificial.,,2,2,2,2,,Don't tell mom,No se lo digas a mamá,gpt4_en,patricio,ENGLISH
23,2024/04/01 4:53:33 PM GMT+2,Expert3,2,1,1,1,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,Don't tell mom,No se lo digas a mamá,gpt4_en,patricio,ENGLISH
24,2024/03/28 5:09:13 PM GMT+2,Expert2,0,0,0,0,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,1,1,2,0,,Echoes of a lost dream,Ecos de un sueño perdido,gpt4_en,machine,ENGLISH
25,2024/03/31 9:58:23 AM GMT+2,Expert3,2,0,1,1,1,1,La relación entre el título y la sinopsis es casi irrelevante.,1,1,,Un escritor novel.,Un escritor novel.,,1,1,2,1,,Echoes of a lost dream,Ecos de un sueño perdido,gpt4_en,machine,ENGLISH
26,2024/03/31 10:24:51 PM GMT+2,Expert1,1,1,1,1,1,1,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",1,1,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,2,2,,Echoes of a lost dream,Ecos de un sueño perdido,gpt4_en,machine,ENGLISH
27,2024/03/31 6:17:08 PM GMT+2,Expert1,2,2,2,1,1,2,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,2,,Una inteligencia artificial.,Un escritor consagrado.,,2,2,2,2,,Echoes of the future,Ecos del futuro,gpt4_en,machine,ENGLISH
28,2024/04/01 10:22:31 PM GMT+2,Expert2,1,0,1,1,0,2,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,2,0,,Echoes of the future,Ecos del futuro,gpt4_en,machine,ENGLISH
29,2024/04/03 11:03:21 AM GMT+2,Expert3,0,0,0,0,0,0,La relación entre el título y la sinopsis es casi irrelevante.,0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,2,0,,Echoes of the future,Ecos del futuro,gpt4_en,machine,ENGLISH
30,2024/04/01 8:31:14 PM GMT+2,Expert1,2,1,1,2,2,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,2,,Un escritor consagrado.,Un escritor novel.,,1,2,1,1,,Eclipse in the botanical garden,Eclipse en el Jardín Botánico,gpt4_en,patricio,ENGLISH
31,2024/04/02 1:26:57 PM GMT+2,Expert2,2,1,1,2,1,2,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor consagrado.,Un escritor novel.,,2,2,2,2,,Eclipse in the botanical garden,Eclipse en el Jardín Botánico,gpt4_en,patricio,ENGLISH
32,2024/04/03 11:21:29 AM GMT+2,Expert3,1,0,0,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Una inteligencia artificial.,Una inteligencia artificial.,,1,2,2,1,,Eclipse in the botanical garden,Eclipse en el Jardín Botánico,gpt4_en,patricio,ENGLISH
33,2024/03/31 6:16:33 PM GMT+2,Expert1,1,0,0,0,0,0,No veo relación alguna entre el título y la sinopsis.,0,0,,Un escritor novel.,Una inteligencia artificial.,,1,1,2,2,,Edith loves him (we'll come back to this),Edith lo ama (luego volveremos a ello),gpt4_en,patricio,ENGLISH
34,2024/04/01 10:56:43 PM GMT+2,Expert2,2,1,1,3,1,1,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",2,1,,Un escritor consagrado.,Una inteligencia artificial.,,0,2,2,0,,Edith loves him (we'll come back to this),Edith lo ama (luego volveremos a ello),gpt4_en,patricio,ENGLISH
35,2024/04/02 4:00:44 PM GMT+2,Expert3,0,0,0,1,0,0,La relación entre el título y la sinopsis es casi irrelevante.,0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,2,0,,Edith loves him (we'll come back to this),Edith lo ama (luego volveremos a ello),gpt4_en,patricio,ENGLISH
36,2024/04/01 12:53:42 PM GMT+2,Expert1,1,1,1,2,1,1,"Hay mucha relación entre el título y la sinopsis y, además, el vínculo es sorprendente, la forma de desarrollar el título es original.",2,1,,Una inteligencia artificial.,Un escritor novel.,,1,2,2,1,,Every picture from when we were young,Todas las fotos son de cuando éramos jóvenes,gpt4_en,patricio,ENGLISH
37,2024/04/02 11:13:19 AM GMT+2,Expert3,1,0,0,1,0,0,La relación entre el título y la sinopsis es casi irrelevante.,0,0,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,Every picture from when we were young,Todas las fotos son de cuando éramos jóvenes,gpt4_en,patricio,ENGLISH
38,2024/04/02 2:04:50 PM GMT+2,Expert2,1,0,0,2,1,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,0,,Un escritor novel.,Una inteligencia artificial.,,0,1,2,0,,Every picture from when we were young,Todas las fotos son de cuando éramos jóvenes,gpt4_en,patricio,ENGLISH
39,2024/03/27 9:55:18 AM GMT+2,Expert2,1,0,0,1,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,0,,Un escritor novel.,Una inteligencia artificial.,,0,1,2,0,,Fragments of an invisible yesterday,Fragmentos de un ayer invisible,gpt4_en,machine,ENGLISH
40,2024/03/31 9:39:08 AM GMT+2,Expert3,2,2,1,2,1,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,0,,Fragments of an invisible yesterday,Fragmentos de un ayer invisible,gpt4_en,machine,ENGLISH
41,2024/04/01 7:05:00 PM GMT+2,Expert1,1,1,1,2,1,1,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",2,1,,Un escritor consagrado.,Una inteligencia artificial.,,1,2,2,1,,Fragments of an invisible yesterday,Fragmentos de un ayer invisible,gpt4_en,machine,ENGLISH
42,2024/03/27 9:40:56 AM GMT+2,Expert2,1,1,2,2,1,2,"Hay mucha relación entre el título y la sinopsis y, además, el vínculo es sorprendente, la forma de desarrollar el título es original.",1,2,,Un escritor novel.,Un escritor novel.,,2,3,2,1,,Future ghosts,Fantasmas futuros,gpt4_en,patricio,ENGLISH
43,2024/04/02 1:54:46 PM GMT+2,Expert1,2,2,1,2,0,0,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",2,1,,Un escritor consagrado.,Una inteligencia artificial.,,1,2,2,1,,Future ghosts,Fantasmas futuros,gpt4_en,patricio,ENGLISH
44,2024/04/03 10:37:53 AM GMT+2,Expert3,0,0,1,0,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,1,,Una inteligencia artificial.,Una inteligencia artificial.,,1,2,2,1,,Future ghosts,Fantasmas futuros,gpt4_en,patricio,ENGLISH
45,2024/03/31 10:57:57 PM GMT+2,Expert1,1,1,1,1,1,1,La relación entre el título y la sinopsis es casi irrelevante.,1,1,,Un escritor novel.,Un escritor novel.,,1,1,1,1,,I have no fear because I have nothing,No tengo miedo porque no tengo nada,gpt4_en,patricio,ENGLISH
46,2024/04/01 11:49:26 AM GMT+2,Expert2,1,1,1,2,1,1,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",1,1,"Solo me parece una sinopsis ""levemente creativa"" porque claramente reformula los argumentos de Eternal Sunshine of the Spotless Mind y Total Recall (y seguro que otras que no he visto), aunque aporte alguna cosa nueva.",Un escritor consagrado.,Un escritor novel.,,1,2,2,1,,I have no fear because I have nothing,No tengo miedo porque no tengo nada,gpt4_en,patricio,ENGLISH
47,2024/04/02 10:45:22 AM GMT+2,Expert3,1,0,0,1,0,0,La relación entre el título y la sinopsis es casi irrelevante.,1,0,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,I have no fear because I have nothing,No tengo miedo porque no tengo nada,gpt4_en,patricio,ENGLISH
48,2024/03/29 12:52:55 AM GMT+2,Expert2,1,1,2,2,2,2,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,2,"Eternal Sunshine of the Spotless Mind meets Her, meets Total Recall. Todas referencias existentes (nada creativo), pero la mezcla sí es bastante creativa.",Un escritor novel.,Un escritor novel.,,2,2,2,2,,I keep trying to forget your promise,Sigo tratando de olvidar tu promesa,gpt4_en,patricio,ENGLISH
49,2024/03/31 10:36:18 PM GMT+2,Expert1,3,2,1,1,1,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,0,,Un escritor novel.,Una inteligencia artificial.,,2,1,1,2,,I keep trying to forget your promise,Sigo tratando de olvidar tu promesa,gpt4_en,patricio,ENGLISH
50,2024/04/03 11:36:39 AM GMT+2,Expert3,1,0,1,1,0,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,I keep trying to forget your promise,Sigo tratando de olvidar tu promesa,gpt4_en,patricio,ENGLISH
51,2024/04/01 3:56:12 PM GMT+2,Expert2,1,0,1,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,,Un escritor consagrado.,Una inteligencia artificial.,,0,1,2,0,,Lindsay Hilton visits Paris,Lindsay Hilton visita París,gpt4_en,patricio,ENGLISH
52,2024/04/02 11:31:51 AM GMT+2,Expert3,0,1,1,1,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,1,,Una inteligencia artificial.,Un escritor novel.,,1,2,2,1,,Lindsay Hilton visits Paris,Lindsay Hilton visita París,gpt4_en,patricio,ENGLISH
53,2024/04/02 1:32:07 PM GMT+2,Expert1,2,1,1,2,1,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,0,,Una inteligencia artificial.,Una inteligencia artificial.,,2,2,2,1,,Lindsay Hilton visits Paris,Lindsay Hilton visita París,gpt4_en,patricio,ENGLISH
54,2024/03/31 2:55:54 PM GMT+2,Expert3,1,0,0,2,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,"Diría que el título es bastante creativo en la medida en la que es original, pero no resulta nada sugerente.",Una inteligencia artificial.,Una inteligencia artificial.,,0,2,2,0,,Mental illness three days a week,Enfermedad mental tres días a la semana,gpt4_en,patricio,ENGLISH
55,2024/04/01 8:23:33 PM GMT+2,Expert1,2,2,1,2,2,2,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,2,,Un escritor consagrado.,Un escritor novel.,,0,2,2,1,,Mental illness three days a week,Enfermedad mental tres días a la semana,gpt4_en,patricio,ENGLISH
56,2024/04/02 11:25:58 AM GMT+2,Expert2,2,1,1,2,1,2,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor novel.,Un escritor novel.,,1,2,2,1,,Mental illness three days a week,Enfermedad mental tres días a la semana,gpt4_en,patricio,ENGLISH
57,2024/03/29 1:03:01 AM GMT+2,Expert2,2,2,2,2,2,2,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,2,,Un escritor consagrado.,Un escritor novel.,,2,2,2,1,,Monsters live here,Aquí habitan monstruos,gpt4_en,patricio,ENGLISH
58,2024/03/31 6:20:20 PM GMT+2,Expert1,2,2,2,2,1,2,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Una inteligencia artificial.,Una inteligencia artificial.,,2,2,2,2,,Monsters live here,Aquí habitan monstruos,gpt4_en,patricio,ENGLISH
59,2024/04/02 11:41:43 AM GMT+2,Expert3,1,0,1,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,0,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,Monsters live here,Aquí habitan monstruos,gpt4_en,patricio,ENGLISH
60,2024/03/28 12:18:29 AM GMT+2,Expert2,3,1,1,2,1,1,"Hay mucha relación entre el título y la sinopsis y, además, el vínculo es sorprendente, la forma de desarrollar el título es original.",2,1,,Un escritor consagrado.,Un escritor novel.,,2,2,2,2,,Paradise can't be seen from here,El Paraíso no puede verse desde aquí,gpt4_en,patricio,ENGLISH
61,2024/04/01 2:39:51 PM GMT+2,Expert1,1,1,1,1,1,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,2,,Paradise can't be seen from here,El Paraíso no puede verse desde aquí,gpt4_en,patricio,ENGLISH
62,2024/04/02 12:38:04 AM GMT+2,Expert3,1,0,0,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,Paradise can't be seen from here,El Paraíso no puede verse desde aquí,gpt4_en,patricio,ENGLISH
63,2024/03/31 10:44:54 PM GMT+2,Expert1,0,1,2,1,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Una inteligencia artificial.,Una inteligencia artificial.,,2,2,1,2,,Parallel paths,Caminos paralelos,gpt4_en,machine,ENGLISH
64,2024/04/01 11:07:51 PM GMT+2,Expert2,0,0,0,0,0,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,Many of these are starting to read like the same text over and over again. And another Elena...,Un escritor novel.,Una inteligencia artificial.,,0,2,2,0,,Parallel paths,Caminos paralelos,gpt4_en,machine,ENGLISH
65,2024/04/02 11:36:25 AM GMT+2,Expert3,0,0,0,0,0,0,La relación entre el título y la sinopsis es casi irrelevante.,0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,1,2,2,1,,Parallel paths,Caminos paralelos,gpt4_en,machine,ENGLISH
66,2024/03/27 1:23:55 AM GMT+2,Expert2,2,1,1,3,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",3,0,,Un escritor consagrado.,Una inteligencia artificial.,,0,2,2,0,,"Pick a card, any card. No, not that one! Another!","Escoge una carta, cualquiera. ¡No, esa no! ¡Otra!",gpt4_en,patricio,ENGLISH
67,2024/04/01 8:04:03 PM GMT+2,Expert1,2,2,2,2,2,1,"Hay mucha relación entre el título y la sinopsis y, además, el vínculo es sorprendente, la forma de desarrollar el título es original.",1,2,,Un escritor novel.,Un escritor consagrado.,,2,2,1,2,,"Pick a card, any card. No, not that one! Another!","Escoge una carta, cualquiera. ¡No, esa no! ¡Otra!",gpt4_en,patricio,ENGLISH
68,2024/04/03 10:46:30 AM GMT+2,Expert3,2,0,0,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,"Pick a card, any card. No, not that one! Another!","Escoge una carta, cualquiera. ¡No, esa no! ¡Otra!",gpt4_en,patricio,ENGLISH
69,2024/03/27 1:14:01 AM GMT+2,Expert2,0,0,1,1,0,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,0,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,3,0,,Reflections of another world,Reflejos de otro mundo,gpt4_en,machine,ENGLISH
70,2024/04/01 6:49:41 PM GMT+2,Expert3,0,1,0,0,0,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,1,,Una inteligencia artificial.,Una inteligencia artificial.,,1,2,2,0,,Reflections of another world,Reflejos de otro mundo,gpt4_en,machine,ENGLISH
71,2024/04/01 8:08:42 PM GMT+2,Expert1,2,1,1,2,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,2,,Un escritor novel.,Un escritor novel.,,1,1,1,1,,Reflections of another world,Reflejos de otro mundo,gpt4_en,machine,ENGLISH
72,2024/03/28 5:31:03 PM GMT+2,Expert2,1,0,0,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,,Un escritor consagrado.,Un escritor consagrado.,,1,2,2,1,,"Rise and fall of R. S. Turtleneck, children's author","Ascenso y caída de R. S. Turtleneck, escritor infantil",gpt4_en,patricio,ENGLISH
73,2024/04/01 12:01:00 PM GMT+2,Expert3,1,0,1,0,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Un escritor novel.,Un escritor novel.,,0,2,2,1,,"Rise and fall of R. S. Turtleneck, children's author","Ascenso y caída de R. S. Turtleneck, escritor infantil",gpt4_en,patricio,ENGLISH
74,2024/04/01 2:20:43 PM GMT+2,Expert1,2,2,2,1,2,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,2,,Una inteligencia artificial.,Un escritor consagrado.,,3,1,2,1,,"Rise and fall of R. S. Turtleneck, children's author","Ascenso y caída de R. S. Turtleneck, escritor infantil",gpt4_en,patricio,ENGLISH
75,2024/04/01 1:21:18 PM GMT+2,Expert1,1,1,2,1,0,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Un escritor consagrado.,Una inteligencia artificial.,,2,1,2,2,,Shadows in the mist,Sombras en la niebla,gpt4_en,machine,ENGLISH
76,2024/04/01 5:25:28 PM GMT+2,Expert3,0,0,0,0,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,1,2,2,1,,Shadows in the mist,Sombras en la niebla,gpt4_en,machine,ENGLISH
77,2024/04/02 10:39:03 AM GMT+2,Expert2,0,1,0,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,,Una inteligencia artificial.,Un escritor novel.,,1,2,2,1,,Shadows in the mist,Sombras en la niebla,gpt4_en,machine,ENGLISH
78,2024/03/28 5:00:26 PM GMT+2,Expert2,2,1,1,3,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor consagrado.,Una inteligencia artificial.,,1,2,2,0,,"Silks from Bursa, tiles from Kütahya","Sedas de Bursa, azulejos de Kütahya",gpt4_en,patricio,ENGLISH
79,2024/04/02 5:59:54 PM GMT+2,Expert1,2,1,1,2,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Una inteligencia artificial.,Una inteligencia artificial.,,2,2,2,1,,"Silks from Bursa, tiles from Kütahya","Sedas de Bursa, azulejos de Kütahya",gpt4_en,patricio,ENGLISH
80,2024/04/03 10:33:35 AM GMT+2,Expert3,2,0,0,2,1,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,0,,Un escritor consagrado.,Una inteligencia artificial.,,1,2,2,1,,"Silks from Bursa, tiles from Kütahya","Sedas de Bursa, azulejos de Kütahya",gpt4_en,patricio,ENGLISH
81,2024/03/31 10:09:26 AM GMT+2,Expert3,2,2,2,2,2,2,"Hay mucha relación entre el título y la sinopsis y, además, el vínculo es sorprendente, la forma de desarrollar el título es original.",1,1,,Un escritor novel.,Un escritor novel.,,2,2,2,2,,Song of the captive moon,Canción de la Luna cautiva,gpt4_en,machine,ENGLISH
